"","tt.epoch"
"1","low"
"2","low"
"3","low"
"4","low"
"5","low"
"6","low"
"7","low"
"8","low"
"9","low"
"10","low"
"11","low"
"12","low"
"13","increasing"
"14","increasing"
"15","increasing"
"16","increasing"
"17","increasing"
"18","increasing"
"19","increasing"
"20","increasing"
"21","increasing"
"22","increasing"
"23","increasing"
"24","increasing"
"25","high"
"26","decreasing"
"27","decreasing"
"28","decreasing"
"29","decreasing"
"30","decreasing"
"31","decreasing"
"32","decreasing"
"33","decreasing"
"34","decreasing"
"35","decreasing"
"36","decreasing"
"37","decreasing"
"38","decreasing"
"39","low"
"40","low"
"41","low"
"42","low"
"43","low"
"44","low"
"45","low"
"46","low"
"47","low"
"48","low"
"49","low"
"50","low"
"51","low"
"52","low"
"53","low"
"54","increasing"
"55","increasing"
"56","increasing"
"57","increasing"
"58","increasing"
"59","increasing"
"60","high"
"61","decreasing"
"62","decreasing"
"63","decreasing"
"64","decreasing"
"65","decreasing"
"66","decreasing"
"67","decreasing"
"68","decreasing"
"69","low"
"70","low"
"71","low"
"72","low"
"73","low"
"74","low"
"75","low"
"76","increasing"
"77","increasing"
"78","increasing"
"79","increasing"
"80","increasing"
"81","high"
"82","decreasing"
"83","decreasing"
"84","decreasing"
"85","decreasing"
"86","decreasing"
"87","decreasing"
"88","decreasing"
"89","decreasing"
"90","decreasing"
"91","decreasing"
"92","decreasing"
"93","low"
"94","low"
"95","low"
"96","low"
"97","low"
"98","low"
"99","low"
"100","low"
"101","low"
"102","increasing"
"103","increasing"
"104","increasing"
"105","increasing"
"106","increasing"
"107","increasing"
"108","increasing"
"109","increasing"
"110","increasing"
"111","increasing"
"112","increasing"
"113","increasing"
"114","high"
"115","decreasing"
"116","decreasing"
"117","decreasing"
"118","decreasing"
"119","decreasing"
"120","decreasing"
"121","decreasing"
"122","low"
"123","low"
"124","low"
"125","low"
"126","low"
"127","low"
"128","low"
"129","low"
"130","low"
"131","low"
"132","low"
"133","low"
"134","low"
"135","increasing"
"136","increasing"
"137","increasing"
"138","increasing"
"139","increasing"
"140","increasing"
"141","increasing"
"142","increasing"
"143","increasing"
"144","increasing"
"145","increasing"
"146","increasing"
"147","increasing"
"148","increasing"
"149","high"
"150","decreasing"
"151","decreasing"
"152","decreasing"
"153","decreasing"
"154","decreasing"
"155","decreasing"
"156","decreasing"
"157","decreasing"
"158","decreasing"
"159","decreasing"
"160","decreasing"
"161","low"
"162","low"
"163","low"
"164","low"
"165","low"
"166","low"
"167","increasing"
"168","increasing"
"169","increasing"
"170","increasing"
"171","increasing"
"172","increasing"
"173","increasing"
"174","increasing"
"175","increasing"
"176","high"
"177","decreasing"
"178","decreasing"
"179","decreasing"
"180","decreasing"
"181","decreasing"
"182","decreasing"
"183","decreasing"
"184","decreasing"
"185","decreasing"
"186","decreasing"
"187","decreasing"
"188","decreasing"
"189","decreasing"
"190","decreasing"
"191","decreasing"
"192","low"
"193","low"
"194","low"
"195","low"
"196","low"
"197","increasing"
"198","increasing"
"199","increasing"
"200","increasing"
"201","increasing"
"202","increasing"
"203","increasing"
"204","increasing"
"205","increasing"
"206","increasing"
"207","increasing"
"208","increasing"
"209","increasing"
"210","high"
"211","decreasing"
"212","decreasing"
"213","decreasing"
"214","decreasing"
"215","decreasing"
"216","low"
"217","low"
"218","low"
"219","low"
"220","low"
"221","low"
"222","low"
"223","increasing"
"224","increasing"
"225","increasing"
"226","increasing"
"227","increasing"
"228","increasing"
"229","increasing"
"230","increasing"
"231","increasing"
"232","increasing"
"233","increasing"
"234","increasing"
"235","high"
"236","decreasing"
"237","decreasing"
"238","decreasing"
"239","decreasing"
"240","decreasing"
"241","decreasing"
"242","decreasing"
"243","decreasing"
"244","decreasing"
"245","decreasing"
"246","decreasing"
"247","decreasing"
"248","decreasing"
"249","low"
"250","low"
"251","low"
"252","low"
"253","low"
"254","low"
"255","increasing"
"256","increasing"
"257","increasing"
"258","increasing"
"259","increasing"
"260","increasing"
"261","increasing"
"262","increasing"
"263","increasing"
"264","increasing"
"265","increasing"
"266","increasing"
"267","high"
"268","decreasing"
"269","decreasing"
"270","decreasing"
"271","decreasing"
"272","decreasing"
"273","decreasing"
"274","decreasing"
"275","decreasing"
"276","decreasing"
"277","decreasing"
"278","decreasing"
"279","decreasing"
"280","low"
"281","low"
"282","low"
"283","low"
"284","low"
"285","low"
"286","increasing"
"287","increasing"
"288","increasing"
"289","increasing"
"290","increasing"
"291","increasing"
"292","increasing"
"293","increasing"
"294","increasing"
"295","increasing"
"296","increasing"
"297","increasing"
"298","high"
"299","decreasing"
"300","decreasing"
