"","tt.epoch"
"1","low"
"2","low"
"3","low"
"4","low"
"5","low"
"6","low"
"7","low"
"8","low"
"9","low"
"10","low"
"11","low"
"12","low"
"13","low"
"14","increasing"
"15","increasing"
"16","increasing"
"17","increasing"
"18","increasing"
"19","increasing"
"20","increasing"
"21","increasing"
"22","increasing"
"23","increasing"
"24","increasing"
"25","increasing"
"26","high"
"27","decreasing"
"28","decreasing"
"29","decreasing"
"30","decreasing"
"31","decreasing"
"32","low"
"33","low"
"34","low"
"35","low"
"36","low"
"37","low"
"38","low"
"39","low"
"40","low"
"41","low"
"42","increasing"
"43","increasing"
"44","increasing"
"45","increasing"
"46","increasing"
"47","increasing"
"48","increasing"
"49","increasing"
"50","increasing"
"51","high"
"52","decreasing"
"53","decreasing"
"54","decreasing"
"55","decreasing"
"56","decreasing"
"57","decreasing"
"58","decreasing"
"59","decreasing"
"60","decreasing"
"61","decreasing"
"62","decreasing"
"63","decreasing"
"64","decreasing"
"65","low"
"66","low"
"67","low"
"68","low"
"69","low"
"70","low"
"71","low"
"72","low"
"73","low"
"74","low"
"75","low"
"76","low"
"77","low"
"78","increasing"
"79","increasing"
"80","increasing"
"81","increasing"
"82","increasing"
"83","high"
"84","decreasing"
"85","decreasing"
"86","decreasing"
"87","decreasing"
"88","decreasing"
"89","decreasing"
"90","decreasing"
"91","decreasing"
"92","decreasing"
"93","decreasing"
"94","decreasing"
"95","decreasing"
"96","decreasing"
"97","low"
"98","low"
"99","low"
"100","low"
"101","low"
"102","low"
"103","low"
"104","increasing"
"105","increasing"
"106","increasing"
"107","increasing"
"108","increasing"
"109","increasing"
"110","high"
"111","decreasing"
"112","decreasing"
"113","decreasing"
"114","decreasing"
"115","decreasing"
"116","decreasing"
"117","decreasing"
"118","decreasing"
"119","decreasing"
"120","decreasing"
"121","decreasing"
"122","decreasing"
"123","decreasing"
"124","decreasing"
"125","decreasing"
"126","low"
"127","low"
"128","low"
"129","low"
"130","low"
"131","increasing"
"132","increasing"
"133","increasing"
"134","increasing"
"135","increasing"
"136","increasing"
"137","increasing"
"138","increasing"
"139","increasing"
"140","increasing"
"141","increasing"
"142","high"
"143","decreasing"
"144","decreasing"
"145","decreasing"
"146","decreasing"
"147","decreasing"
"148","low"
"149","low"
"150","low"
"151","low"
"152","low"
"153","low"
"154","low"
"155","low"
"156","low"
"157","low"
"158","low"
"159","low"
"160","increasing"
"161","increasing"
"162","increasing"
"163","increasing"
"164","increasing"
"165","increasing"
"166","increasing"
"167","increasing"
"168","increasing"
"169","increasing"
"170","increasing"
"171","high"
"172","decreasing"
"173","decreasing"
"174","decreasing"
"175","decreasing"
"176","decreasing"
"177","decreasing"
"178","decreasing"
"179","decreasing"
"180","decreasing"
"181","decreasing"
"182","decreasing"
"183","low"
"184","low"
"185","low"
"186","low"
"187","low"
"188","low"
"189","low"
"190","low"
"191","low"
"192","low"
"193","low"
"194","increasing"
"195","increasing"
"196","increasing"
"197","increasing"
"198","increasing"
"199","increasing"
"200","increasing"
"201","high"
"202","decreasing"
"203","decreasing"
"204","decreasing"
"205","decreasing"
"206","decreasing"
"207","decreasing"
"208","decreasing"
"209","decreasing"
"210","decreasing"
"211","decreasing"
"212","decreasing"
"213","decreasing"
"214","decreasing"
"215","decreasing"
"216","low"
"217","low"
"218","low"
"219","low"
"220","low"
"221","low"
"222","increasing"
"223","increasing"
"224","increasing"
"225","increasing"
"226","increasing"
"227","increasing"
"228","increasing"
"229","high"
"230","decreasing"
"231","decreasing"
"232","decreasing"
"233","decreasing"
"234","decreasing"
"235","low"
"236","low"
"237","low"
"238","low"
"239","low"
"240","low"
"241","low"
"242","low"
"243","low"
"244","low"
"245","low"
"246","increasing"
"247","increasing"
"248","increasing"
"249","increasing"
"250","increasing"
"251","increasing"
"252","high"
"253","decreasing"
"254","decreasing"
"255","decreasing"
"256","decreasing"
"257","decreasing"
"258","decreasing"
"259","decreasing"
"260","decreasing"
"261","decreasing"
"262","decreasing"
"263","low"
"264","low"
"265","low"
"266","low"
"267","low"
"268","low"
"269","low"
"270","low"
"271","increasing"
"272","increasing"
"273","increasing"
"274","increasing"
"275","increasing"
"276","increasing"
"277","increasing"
"278","increasing"
"279","increasing"
"280","increasing"
"281","high"
"282","decreasing"
"283","decreasing"
"284","decreasing"
"285","decreasing"
"286","decreasing"
"287","decreasing"
"288","decreasing"
"289","decreasing"
"290","decreasing"
"291","decreasing"
"292","decreasing"
"293","low"
"294","low"
"295","low"
"296","low"
"297","low"
"298","low"
"299","low"
"300","low"
