"","tt.epoch"
"1","low"
"2","low"
"3","low"
"4","low"
"5","low"
"6","increasing"
"7","increasing"
"8","increasing"
"9","increasing"
"10","increasing"
"11","increasing"
"12","high"
"13","decreasing"
"14","decreasing"
"15","decreasing"
"16","decreasing"
"17","decreasing"
"18","decreasing"
"19","decreasing"
"20","decreasing"
"21","decreasing"
"22","decreasing"
"23","decreasing"
"24","decreasing"
"25","decreasing"
"26","decreasing"
"27","low"
"28","low"
"29","low"
"30","low"
"31","low"
"32","low"
"33","low"
"34","low"
"35","low"
"36","low"
"37","low"
"38","low"
"39","low"
"40","increasing"
"41","increasing"
"42","increasing"
"43","increasing"
"44","increasing"
"45","increasing"
"46","increasing"
"47","increasing"
"48","increasing"
"49","increasing"
"50","increasing"
"51","high"
"52","decreasing"
"53","decreasing"
"54","decreasing"
"55","decreasing"
"56","decreasing"
"57","decreasing"
"58","low"
"59","low"
"60","low"
"61","low"
"62","low"
"63","low"
"64","low"
"65","low"
"66","low"
"67","low"
"68","increasing"
"69","increasing"
"70","increasing"
"71","increasing"
"72","increasing"
"73","increasing"
"74","increasing"
"75","increasing"
"76","increasing"
"77","increasing"
"78","increasing"
"79","increasing"
"80","increasing"
"81","increasing"
"82","increasing"
"83","high"
"84","decreasing"
"85","decreasing"
"86","decreasing"
"87","decreasing"
"88","decreasing"
"89","decreasing"
"90","decreasing"
"91","decreasing"
"92","decreasing"
"93","decreasing"
"94","decreasing"
"95","decreasing"
"96","decreasing"
"97","low"
"98","low"
"99","low"
"100","low"
"101","low"
"102","low"
"103","low"
"104","low"
"105","low"
"106","increasing"
"107","increasing"
"108","increasing"
"109","increasing"
"110","increasing"
"111","increasing"
"112","increasing"
"113","increasing"
"114","increasing"
"115","increasing"
"116","increasing"
"117","high"
"118","decreasing"
"119","decreasing"
"120","decreasing"
"121","decreasing"
"122","decreasing"
"123","decreasing"
"124","low"
"125","low"
"126","low"
"127","low"
"128","low"
"129","low"
"130","increasing"
"131","increasing"
"132","increasing"
"133","increasing"
"134","increasing"
"135","increasing"
"136","increasing"
"137","increasing"
"138","increasing"
"139","increasing"
"140","high"
"141","decreasing"
"142","decreasing"
"143","decreasing"
"144","decreasing"
"145","decreasing"
"146","decreasing"
"147","decreasing"
"148","decreasing"
"149","low"
"150","low"
"151","low"
"152","low"
"153","low"
"154","low"
"155","increasing"
"156","increasing"
"157","increasing"
"158","increasing"
"159","increasing"
"160","increasing"
"161","increasing"
"162","increasing"
"163","increasing"
"164","increasing"
"165","increasing"
"166","high"
"167","decreasing"
"168","decreasing"
"169","decreasing"
"170","decreasing"
"171","decreasing"
"172","decreasing"
"173","decreasing"
"174","decreasing"
"175","decreasing"
"176","decreasing"
"177","decreasing"
"178","decreasing"
"179","decreasing"
"180","decreasing"
"181","low"
"182","low"
"183","low"
"184","low"
"185","low"
"186","increasing"
"187","increasing"
"188","increasing"
"189","increasing"
"190","increasing"
"191","increasing"
"192","increasing"
"193","increasing"
"194","increasing"
"195","increasing"
"196","increasing"
"197","increasing"
"198","increasing"
"199","increasing"
"200","increasing"
"201","high"
"202","decreasing"
"203","decreasing"
"204","decreasing"
"205","decreasing"
"206","decreasing"
"207","decreasing"
"208","decreasing"
"209","decreasing"
"210","low"
"211","low"
"212","low"
"213","low"
"214","low"
"215","low"
"216","low"
"217","low"
"218","low"
"219","increasing"
"220","increasing"
"221","increasing"
"222","increasing"
"223","increasing"
"224","increasing"
"225","increasing"
"226","increasing"
"227","increasing"
"228","increasing"
"229","increasing"
"230","increasing"
"231","high"
"232","decreasing"
"233","decreasing"
"234","decreasing"
"235","decreasing"
"236","decreasing"
"237","decreasing"
"238","decreasing"
"239","decreasing"
"240","decreasing"
"241","decreasing"
"242","decreasing"
"243","decreasing"
"244","decreasing"
"245","low"
"246","low"
"247","low"
"248","low"
"249","low"
"250","low"
"251","low"
"252","low"
"253","low"
"254","low"
"255","low"
"256","low"
"257","low"
"258","low"
"259","increasing"
"260","increasing"
"261","increasing"
"262","increasing"
"263","increasing"
"264","increasing"
"265","increasing"
"266","increasing"
"267","increasing"
"268","increasing"
"269","increasing"
"270","increasing"
"271","increasing"
"272","high"
"273","decreasing"
"274","decreasing"
"275","decreasing"
"276","decreasing"
"277","decreasing"
"278","decreasing"
"279","decreasing"
"280","low"
"281","low"
"282","low"
"283","low"
"284","low"
"285","low"
"286","low"
"287","increasing"
"288","increasing"
"289","increasing"
"290","increasing"
"291","increasing"
"292","increasing"
"293","increasing"
"294","increasing"
"295","increasing"
"296","increasing"
"297","increasing"
"298","increasing"
"299","increasing"
"300","high"
