"","tt.epoch"
"1","low"
"2","low"
"3","low"
"4","low"
"5","low"
"6","low"
"7","low"
"8","low"
"9","low"
"10","low"
"11","low"
"12","increasing"
"13","increasing"
"14","increasing"
"15","increasing"
"16","increasing"
"17","high"
"18","decreasing"
"19","decreasing"
"20","decreasing"
"21","decreasing"
"22","decreasing"
"23","low"
"24","low"
"25","low"
"26","low"
"27","low"
"28","low"
"29","increasing"
"30","increasing"
"31","increasing"
"32","increasing"
"33","increasing"
"34","increasing"
"35","increasing"
"36","high"
"37","decreasing"
"38","decreasing"
"39","decreasing"
"40","decreasing"
"41","decreasing"
"42","decreasing"
"43","decreasing"
"44","decreasing"
"45","decreasing"
"46","decreasing"
"47","decreasing"
"48","decreasing"
"49","decreasing"
"50","decreasing"
"51","low"
"52","low"
"53","low"
"54","low"
"55","low"
"56","low"
"57","low"
"58","low"
"59","low"
"60","low"
"61","low"
"62","increasing"
"63","increasing"
"64","increasing"
"65","increasing"
"66","increasing"
"67","increasing"
"68","increasing"
"69","increasing"
"70","increasing"
"71","increasing"
"72","increasing"
"73","increasing"
"74","increasing"
"75","high"
"76","decreasing"
"77","decreasing"
"78","decreasing"
"79","decreasing"
"80","decreasing"
"81","decreasing"
"82","decreasing"
"83","decreasing"
"84","decreasing"
"85","decreasing"
"86","decreasing"
"87","decreasing"
"88","decreasing"
"89","decreasing"
"90","decreasing"
"91","low"
"92","low"
"93","low"
"94","low"
"95","low"
"96","low"
"97","low"
"98","low"
"99","increasing"
"100","increasing"
"101","increasing"
"102","increasing"
"103","increasing"
"104","increasing"
"105","increasing"
"106","increasing"
"107","increasing"
"108","increasing"
"109","increasing"
"110","increasing"
"111","increasing"
"112","increasing"
"113","increasing"
"114","high"
"115","decreasing"
"116","decreasing"
"117","decreasing"
"118","decreasing"
"119","decreasing"
"120","decreasing"
"121","decreasing"
"122","decreasing"
"123","decreasing"
"124","decreasing"
"125","decreasing"
"126","low"
"127","low"
"128","low"
"129","low"
"130","low"
"131","low"
"132","low"
"133","low"
"134","low"
"135","low"
"136","low"
"137","low"
"138","low"
"139","increasing"
"140","increasing"
"141","increasing"
"142","increasing"
"143","increasing"
"144","increasing"
"145","high"
"146","decreasing"
"147","decreasing"
"148","decreasing"
"149","decreasing"
"150","decreasing"
"151","decreasing"
"152","decreasing"
"153","decreasing"
"154","decreasing"
"155","decreasing"
"156","decreasing"
"157","low"
"158","low"
"159","low"
"160","low"
"161","low"
"162","low"
"163","low"
"164","low"
"165","low"
"166","low"
"167","low"
"168","low"
"169","low"
"170","low"
"171","increasing"
"172","increasing"
"173","increasing"
"174","increasing"
"175","increasing"
"176","increasing"
"177","high"
"178","decreasing"
"179","decreasing"
"180","decreasing"
"181","decreasing"
"182","decreasing"
"183","decreasing"
"184","decreasing"
"185","decreasing"
"186","decreasing"
"187","decreasing"
"188","decreasing"
"189","decreasing"
"190","decreasing"
"191","decreasing"
"192","decreasing"
"193","low"
"194","low"
"195","low"
"196","low"
"197","low"
"198","low"
"199","low"
"200","low"
"201","low"
"202","low"
"203","low"
"204","low"
"205","low"
"206","low"
"207","low"
"208","increasing"
"209","increasing"
"210","increasing"
"211","increasing"
"212","increasing"
"213","increasing"
"214","increasing"
"215","increasing"
"216","increasing"
"217","increasing"
"218","increasing"
"219","high"
"220","decreasing"
"221","decreasing"
"222","decreasing"
"223","decreasing"
"224","decreasing"
"225","decreasing"
"226","decreasing"
"227","decreasing"
"228","decreasing"
"229","decreasing"
"230","decreasing"
"231","decreasing"
"232","decreasing"
"233","decreasing"
"234","low"
"235","low"
"236","low"
"237","low"
"238","low"
"239","low"
"240","low"
"241","low"
"242","low"
"243","low"
"244","increasing"
"245","increasing"
"246","increasing"
"247","increasing"
"248","increasing"
"249","increasing"
"250","increasing"
"251","increasing"
"252","increasing"
"253","increasing"
"254","increasing"
"255","increasing"
"256","increasing"
"257","high"
"258","decreasing"
"259","decreasing"
"260","decreasing"
"261","decreasing"
"262","decreasing"
"263","decreasing"
"264","decreasing"
"265","decreasing"
"266","decreasing"
"267","low"
"268","low"
"269","low"
"270","low"
"271","low"
"272","low"
"273","low"
"274","low"
"275","low"
"276","low"
"277","increasing"
"278","increasing"
"279","increasing"
"280","increasing"
"281","increasing"
"282","increasing"
"283","increasing"
"284","increasing"
"285","increasing"
"286","increasing"
"287","increasing"
"288","increasing"
"289","high"
"290","decreasing"
"291","decreasing"
"292","decreasing"
"293","decreasing"
"294","decreasing"
"295","decreasing"
"296","decreasing"
"297","decreasing"
"298","decreasing"
"299","decreasing"
"300","decreasing"
