"","tt.epoch"
"1","low"
"2","low"
"3","low"
"4","low"
"5","low"
"6","low"
"7","increasing"
"8","increasing"
"9","increasing"
"10","increasing"
"11","increasing"
"12","increasing"
"13","increasing"
"14","increasing"
"15","increasing"
"16","increasing"
"17","increasing"
"18","high"
"19","decreasing"
"20","decreasing"
"21","decreasing"
"22","decreasing"
"23","decreasing"
"24","decreasing"
"25","decreasing"
"26","low"
"27","low"
"28","low"
"29","low"
"30","low"
"31","low"
"32","low"
"33","low"
"34","low"
"35","low"
"36","low"
"37","low"
"38","low"
"39","low"
"40","low"
"41","increasing"
"42","increasing"
"43","increasing"
"44","increasing"
"45","increasing"
"46","high"
"47","decreasing"
"48","decreasing"
"49","decreasing"
"50","decreasing"
"51","decreasing"
"52","decreasing"
"53","decreasing"
"54","decreasing"
"55","decreasing"
"56","decreasing"
"57","decreasing"
"58","decreasing"
"59","decreasing"
"60","decreasing"
"61","low"
"62","low"
"63","low"
"64","low"
"65","low"
"66","low"
"67","low"
"68","low"
"69","increasing"
"70","increasing"
"71","increasing"
"72","increasing"
"73","increasing"
"74","increasing"
"75","increasing"
"76","increasing"
"77","increasing"
"78","high"
"79","decreasing"
"80","decreasing"
"81","decreasing"
"82","decreasing"
"83","decreasing"
"84","decreasing"
"85","decreasing"
"86","decreasing"
"87","decreasing"
"88","decreasing"
"89","decreasing"
"90","low"
"91","low"
"92","low"
"93","low"
"94","low"
"95","low"
"96","low"
"97","low"
"98","low"
"99","low"
"100","increasing"
"101","increasing"
"102","increasing"
"103","increasing"
"104","increasing"
"105","increasing"
"106","increasing"
"107","increasing"
"108","high"
"109","decreasing"
"110","decreasing"
"111","decreasing"
"112","decreasing"
"113","decreasing"
"114","low"
"115","low"
"116","low"
"117","low"
"118","low"
"119","low"
"120","low"
"121","low"
"122","low"
"123","increasing"
"124","increasing"
"125","increasing"
"126","increasing"
"127","increasing"
"128","increasing"
"129","increasing"
"130","increasing"
"131","high"
"132","decreasing"
"133","decreasing"
"134","decreasing"
"135","decreasing"
"136","decreasing"
"137","decreasing"
"138","decreasing"
"139","low"
"140","low"
"141","low"
"142","low"
"143","low"
"144","low"
"145","low"
"146","low"
"147","increasing"
"148","increasing"
"149","increasing"
"150","increasing"
"151","increasing"
"152","increasing"
"153","increasing"
"154","increasing"
"155","increasing"
"156","high"
"157","decreasing"
"158","decreasing"
"159","decreasing"
"160","decreasing"
"161","decreasing"
"162","decreasing"
"163","decreasing"
"164","low"
"165","low"
"166","low"
"167","low"
"168","low"
"169","low"
"170","low"
"171","low"
"172","low"
"173","low"
"174","low"
"175","low"
"176","increasing"
"177","increasing"
"178","increasing"
"179","increasing"
"180","increasing"
"181","increasing"
"182","increasing"
"183","increasing"
"184","increasing"
"185","increasing"
"186","increasing"
"187","increasing"
"188","increasing"
"189","increasing"
"190","increasing"
"191","high"
"192","decreasing"
"193","decreasing"
"194","decreasing"
"195","decreasing"
"196","decreasing"
"197","decreasing"
"198","decreasing"
"199","decreasing"
"200","decreasing"
"201","decreasing"
"202","decreasing"
"203","decreasing"
"204","low"
"205","low"
"206","low"
"207","low"
"208","low"
"209","low"
"210","low"
"211","low"
"212","low"
"213","low"
"214","increasing"
"215","increasing"
"216","increasing"
"217","increasing"
"218","increasing"
"219","high"
"220","decreasing"
"221","decreasing"
"222","decreasing"
"223","decreasing"
"224","decreasing"
"225","decreasing"
"226","decreasing"
"227","decreasing"
"228","decreasing"
"229","decreasing"
"230","low"
"231","low"
"232","low"
"233","low"
"234","low"
"235","increasing"
"236","increasing"
"237","increasing"
"238","increasing"
"239","increasing"
"240","increasing"
"241","increasing"
"242","increasing"
"243","increasing"
"244","increasing"
"245","increasing"
"246","high"
"247","decreasing"
"248","decreasing"
"249","decreasing"
"250","decreasing"
"251","decreasing"
"252","low"
"253","low"
"254","low"
"255","low"
"256","low"
"257","low"
"258","low"
"259","low"
"260","low"
"261","low"
"262","low"
"263","low"
"264","increasing"
"265","increasing"
"266","increasing"
"267","increasing"
"268","increasing"
"269","increasing"
"270","increasing"
"271","increasing"
"272","increasing"
"273","increasing"
"274","increasing"
"275","increasing"
"276","increasing"
"277","high"
"278","decreasing"
"279","decreasing"
"280","decreasing"
"281","decreasing"
"282","decreasing"
"283","decreasing"
"284","decreasing"
"285","low"
"286","low"
"287","low"
"288","low"
"289","low"
"290","increasing"
"291","increasing"
"292","increasing"
"293","increasing"
"294","increasing"
"295","increasing"
"296","increasing"
"297","high"
"298","decreasing"
"299","decreasing"
"300","decreasing"
