"","tt.epoch"
"1","low"
"2","low"
"3","low"
"4","low"
"5","low"
"6","low"
"7","low"
"8","low"
"9","low"
"10","low"
"11","low"
"12","low"
"13","low"
"14","low"
"15","low"
"16","increasing"
"17","increasing"
"18","increasing"
"19","increasing"
"20","increasing"
"21","increasing"
"22","increasing"
"23","increasing"
"24","increasing"
"25","increasing"
"26","increasing"
"27","increasing"
"28","increasing"
"29","increasing"
"30","high"
"31","decreasing"
"32","decreasing"
"33","decreasing"
"34","decreasing"
"35","decreasing"
"36","decreasing"
"37","decreasing"
"38","low"
"39","low"
"40","low"
"41","low"
"42","low"
"43","low"
"44","low"
"45","low"
"46","low"
"47","low"
"48","low"
"49","low"
"50","increasing"
"51","increasing"
"52","increasing"
"53","increasing"
"54","increasing"
"55","increasing"
"56","increasing"
"57","increasing"
"58","increasing"
"59","increasing"
"60","increasing"
"61","increasing"
"62","high"
"63","decreasing"
"64","decreasing"
"65","decreasing"
"66","decreasing"
"67","decreasing"
"68","decreasing"
"69","decreasing"
"70","decreasing"
"71","decreasing"
"72","decreasing"
"73","decreasing"
"74","decreasing"
"75","decreasing"
"76","decreasing"
"77","decreasing"
"78","low"
"79","low"
"80","low"
"81","low"
"82","low"
"83","increasing"
"84","increasing"
"85","increasing"
"86","increasing"
"87","increasing"
"88","increasing"
"89","increasing"
"90","increasing"
"91","increasing"
"92","increasing"
"93","increasing"
"94","increasing"
"95","increasing"
"96","increasing"
"97","high"
"98","decreasing"
"99","decreasing"
"100","decreasing"
"101","decreasing"
"102","decreasing"
"103","decreasing"
"104","decreasing"
"105","decreasing"
"106","decreasing"
"107","decreasing"
"108","low"
"109","low"
"110","low"
"111","low"
"112","low"
"113","low"
"114","low"
"115","low"
"116","low"
"117","low"
"118","increasing"
"119","increasing"
"120","increasing"
"121","increasing"
"122","increasing"
"123","increasing"
"124","increasing"
"125","increasing"
"126","increasing"
"127","increasing"
"128","increasing"
"129","increasing"
"130","increasing"
"131","high"
"132","decreasing"
"133","decreasing"
"134","decreasing"
"135","decreasing"
"136","decreasing"
"137","low"
"138","low"
"139","low"
"140","low"
"141","low"
"142","low"
"143","low"
"144","low"
"145","increasing"
"146","increasing"
"147","increasing"
"148","increasing"
"149","increasing"
"150","increasing"
"151","increasing"
"152","increasing"
"153","increasing"
"154","high"
"155","decreasing"
"156","decreasing"
"157","decreasing"
"158","decreasing"
"159","decreasing"
"160","decreasing"
"161","decreasing"
"162","decreasing"
"163","decreasing"
"164","decreasing"
"165","decreasing"
"166","low"
"167","low"
"168","low"
"169","low"
"170","low"
"171","low"
"172","low"
"173","low"
"174","low"
"175","low"
"176","low"
"177","low"
"178","low"
"179","increasing"
"180","increasing"
"181","increasing"
"182","increasing"
"183","increasing"
"184","increasing"
"185","increasing"
"186","increasing"
"187","increasing"
"188","increasing"
"189","increasing"
"190","increasing"
"191","increasing"
"192","increasing"
"193","increasing"
"194","high"
"195","decreasing"
"196","decreasing"
"197","decreasing"
"198","decreasing"
"199","decreasing"
"200","decreasing"
"201","decreasing"
"202","decreasing"
"203","decreasing"
"204","decreasing"
"205","decreasing"
"206","decreasing"
"207","low"
"208","low"
"209","low"
"210","low"
"211","low"
"212","low"
"213","low"
"214","low"
"215","low"
"216","low"
"217","low"
"218","low"
"219","low"
"220","low"
"221","low"
"222","increasing"
"223","increasing"
"224","increasing"
"225","increasing"
"226","increasing"
"227","increasing"
"228","increasing"
"229","increasing"
"230","increasing"
"231","increasing"
"232","increasing"
"233","increasing"
"234","high"
"235","decreasing"
"236","decreasing"
"237","decreasing"
"238","decreasing"
"239","decreasing"
"240","decreasing"
"241","decreasing"
"242","decreasing"
"243","decreasing"
"244","decreasing"
"245","decreasing"
"246","decreasing"
"247","decreasing"
"248","low"
"249","low"
"250","low"
"251","low"
"252","low"
"253","low"
"254","low"
"255","increasing"
"256","increasing"
"257","increasing"
"258","increasing"
"259","increasing"
"260","increasing"
"261","increasing"
"262","increasing"
"263","increasing"
"264","increasing"
"265","increasing"
"266","increasing"
"267","increasing"
"268","increasing"
"269","high"
"270","decreasing"
"271","decreasing"
"272","decreasing"
"273","decreasing"
"274","decreasing"
"275","decreasing"
"276","decreasing"
"277","decreasing"
"278","decreasing"
"279","decreasing"
"280","decreasing"
"281","decreasing"
"282","decreasing"
"283","decreasing"
"284","decreasing"
"285","low"
"286","low"
"287","low"
"288","low"
"289","low"
"290","low"
"291","low"
"292","low"
"293","low"
"294","low"
"295","low"
"296","low"
"297","increasing"
"298","increasing"
"299","increasing"
"300","increasing"
