"","tt.epoch"
"1","low"
"2","low"
"3","low"
"4","low"
"5","low"
"6","low"
"7","low"
"8","low"
"9","low"
"10","low"
"11","low"
"12","low"
"13","low"
"14","increasing"
"15","increasing"
"16","increasing"
"17","increasing"
"18","increasing"
"19","increasing"
"20","increasing"
"21","increasing"
"22","increasing"
"23","increasing"
"24","increasing"
"25","increasing"
"26","high"
"27","decreasing"
"28","decreasing"
"29","decreasing"
"30","decreasing"
"31","decreasing"
"32","decreasing"
"33","decreasing"
"34","decreasing"
"35","decreasing"
"36","decreasing"
"37","decreasing"
"38","low"
"39","low"
"40","low"
"41","low"
"42","low"
"43","low"
"44","increasing"
"45","increasing"
"46","increasing"
"47","increasing"
"48","increasing"
"49","increasing"
"50","increasing"
"51","increasing"
"52","increasing"
"53","increasing"
"54","increasing"
"55","increasing"
"56","increasing"
"57","increasing"
"58","increasing"
"59","high"
"60","decreasing"
"61","decreasing"
"62","decreasing"
"63","decreasing"
"64","decreasing"
"65","decreasing"
"66","decreasing"
"67","decreasing"
"68","decreasing"
"69","low"
"70","low"
"71","low"
"72","low"
"73","low"
"74","low"
"75","increasing"
"76","increasing"
"77","increasing"
"78","increasing"
"79","increasing"
"80","increasing"
"81","increasing"
"82","increasing"
"83","increasing"
"84","increasing"
"85","increasing"
"86","increasing"
"87","increasing"
"88","increasing"
"89","increasing"
"90","high"
"91","decreasing"
"92","decreasing"
"93","decreasing"
"94","decreasing"
"95","decreasing"
"96","decreasing"
"97","low"
"98","low"
"99","low"
"100","low"
"101","low"
"102","low"
"103","increasing"
"104","increasing"
"105","increasing"
"106","increasing"
"107","increasing"
"108","increasing"
"109","increasing"
"110","increasing"
"111","increasing"
"112","increasing"
"113","high"
"114","decreasing"
"115","decreasing"
"116","decreasing"
"117","decreasing"
"118","decreasing"
"119","decreasing"
"120","decreasing"
"121","decreasing"
"122","decreasing"
"123","decreasing"
"124","decreasing"
"125","decreasing"
"126","decreasing"
"127","decreasing"
"128","decreasing"
"129","low"
"130","low"
"131","low"
"132","low"
"133","low"
"134","low"
"135","low"
"136","low"
"137","low"
"138","low"
"139","low"
"140","low"
"141","increasing"
"142","increasing"
"143","increasing"
"144","increasing"
"145","increasing"
"146","increasing"
"147","increasing"
"148","increasing"
"149","increasing"
"150","high"
"151","decreasing"
"152","decreasing"
"153","decreasing"
"154","decreasing"
"155","decreasing"
"156","decreasing"
"157","decreasing"
"158","decreasing"
"159","decreasing"
"160","low"
"161","low"
"162","low"
"163","low"
"164","low"
"165","low"
"166","low"
"167","increasing"
"168","increasing"
"169","increasing"
"170","increasing"
"171","increasing"
"172","high"
"173","decreasing"
"174","decreasing"
"175","decreasing"
"176","decreasing"
"177","decreasing"
"178","decreasing"
"179","decreasing"
"180","decreasing"
"181","low"
"182","low"
"183","low"
"184","low"
"185","low"
"186","increasing"
"187","increasing"
"188","increasing"
"189","increasing"
"190","increasing"
"191","increasing"
"192","increasing"
"193","increasing"
"194","high"
"195","decreasing"
"196","decreasing"
"197","decreasing"
"198","decreasing"
"199","decreasing"
"200","decreasing"
"201","decreasing"
"202","low"
"203","low"
"204","low"
"205","low"
"206","low"
"207","low"
"208","low"
"209","low"
"210","low"
"211","low"
"212","low"
"213","low"
"214","low"
"215","low"
"216","low"
"217","increasing"
"218","increasing"
"219","increasing"
"220","increasing"
"221","increasing"
"222","increasing"
"223","increasing"
"224","increasing"
"225","increasing"
"226","increasing"
"227","increasing"
"228","high"
"229","decreasing"
"230","decreasing"
"231","decreasing"
"232","decreasing"
"233","decreasing"
"234","decreasing"
"235","decreasing"
"236","decreasing"
"237","decreasing"
"238","low"
"239","low"
"240","low"
"241","low"
"242","low"
"243","low"
"244","low"
"245","low"
"246","low"
"247","low"
"248","low"
"249","low"
"250","low"
"251","low"
"252","low"
"253","increasing"
"254","increasing"
"255","increasing"
"256","increasing"
"257","increasing"
"258","increasing"
"259","increasing"
"260","increasing"
"261","high"
"262","decreasing"
"263","decreasing"
"264","decreasing"
"265","decreasing"
"266","decreasing"
"267","decreasing"
"268","decreasing"
"269","decreasing"
"270","decreasing"
"271","decreasing"
"272","decreasing"
"273","decreasing"
"274","decreasing"
"275","decreasing"
"276","decreasing"
"277","low"
"278","low"
"279","low"
"280","low"
"281","low"
"282","low"
"283","low"
"284","low"
"285","low"
"286","low"
"287","low"
"288","increasing"
"289","increasing"
"290","increasing"
"291","increasing"
"292","increasing"
"293","high"
"294","decreasing"
"295","decreasing"
"296","decreasing"
"297","decreasing"
"298","decreasing"
"299","decreasing"
"300","decreasing"
