"","qq.epoch"
"1","low"
"2","low"
"3","low"
"4","low"
"5","low"
"6","low"
"7","low"
"8","low"
"9","low"
"10","low"
"11","increasing"
"12","increasing"
"13","increasing"
"14","increasing"
"15","increasing"
"16","increasing"
"17","increasing"
"18","increasing"
"19","increasing"
"20","increasing"
"21","increasing"
"22","increasing"
"23","increasing"
"24","increasing"
"25","increasing"
"26","high"
"27","decreasing"
"28","decreasing"
"29","decreasing"
"30","decreasing"
"31","decreasing"
"32","low"
"33","low"
"34","low"
"35","low"
"36","low"
"37","low"
"38","low"
"39","low"
"40","low"
"41","low"
"42","increasing"
"43","increasing"
"44","increasing"
"45","increasing"
"46","increasing"
"47","increasing"
"48","increasing"
"49","increasing"
"50","increasing"
"51","increasing"
"52","high"
"53","decreasing"
"54","decreasing"
"55","decreasing"
"56","decreasing"
"57","decreasing"
"58","decreasing"
"59","decreasing"
"60","decreasing"
"61","decreasing"
"62","decreasing"
"63","decreasing"
"64","decreasing"
"65","decreasing"
"66","decreasing"
"67","low"
"68","low"
"69","low"
"70","low"
"71","low"
"72","low"
"73","low"
"74","low"
"75","low"
"76","increasing"
"77","increasing"
"78","increasing"
"79","increasing"
"80","increasing"
"81","increasing"
"82","increasing"
"83","increasing"
"84","increasing"
"85","increasing"
"86","increasing"
"87","increasing"
"88","increasing"
"89","increasing"
"90","increasing"
"91","high"
"92","decreasing"
"93","decreasing"
"94","decreasing"
"95","decreasing"
"96","decreasing"
"97","decreasing"
"98","decreasing"
"99","decreasing"
"100","decreasing"
"101","decreasing"
"102","decreasing"
"103","decreasing"
"104","decreasing"
"105","decreasing"
"106","decreasing"
"107","low"
"108","low"
"109","low"
"110","low"
"111","low"
"112","low"
"113","low"
"114","low"
"115","low"
"116","low"
"117","low"
"118","low"
"119","low"
"120","increasing"
"121","increasing"
"122","increasing"
"123","increasing"
"124","increasing"
"125","increasing"
"126","increasing"
"127","increasing"
"128","increasing"
"129","increasing"
"130","increasing"
"131","increasing"
"132","increasing"
"133","high"
"134","decreasing"
"135","decreasing"
"136","decreasing"
"137","decreasing"
"138","decreasing"
"139","decreasing"
"140","decreasing"
"141","decreasing"
"142","decreasing"
"143","decreasing"
"144","decreasing"
"145","decreasing"
"146","decreasing"
"147","decreasing"
"148","low"
"149","low"
"150","low"
"151","low"
"152","low"
"153","low"
"154","low"
"155","low"
"156","low"
"157","low"
"158","low"
"159","low"
"160","low"
"161","low"
"162","low"
"163","increasing"
"164","increasing"
"165","increasing"
"166","increasing"
"167","increasing"
"168","increasing"
"169","increasing"
"170","increasing"
"171","increasing"
"172","increasing"
"173","high"
"174","decreasing"
"175","decreasing"
"176","decreasing"
"177","decreasing"
"178","decreasing"
"179","decreasing"
"180","decreasing"
"181","decreasing"
"182","decreasing"
"183","decreasing"
"184","decreasing"
"185","decreasing"
"186","decreasing"
"187","decreasing"
"188","decreasing"
"189","low"
"190","low"
"191","low"
"192","low"
"193","low"
"194","low"
"195","low"
"196","low"
"197","low"
"198","low"
"199","low"
"200","increasing"
"201","increasing"
"202","increasing"
"203","increasing"
"204","increasing"
"205","increasing"
"206","increasing"
"207","increasing"
"208","increasing"
"209","high"
"210","decreasing"
"211","decreasing"
"212","decreasing"
"213","decreasing"
"214","decreasing"
"215","decreasing"
"216","decreasing"
"217","decreasing"
"218","low"
"219","low"
"220","low"
"221","low"
"222","low"
"223","increasing"
"224","increasing"
"225","increasing"
"226","increasing"
"227","increasing"
"228","increasing"
"229","increasing"
"230","increasing"
"231","increasing"
"232","increasing"
"233","increasing"
"234","increasing"
"235","increasing"
"236","high"
"237","decreasing"
"238","decreasing"
"239","decreasing"
"240","decreasing"
"241","decreasing"
"242","decreasing"
"243","decreasing"
"244","decreasing"
"245","decreasing"
"246","decreasing"
"247","decreasing"
"248","decreasing"
"249","decreasing"
"250","decreasing"
"251","decreasing"
"252","low"
"253","low"
"254","low"
"255","low"
"256","low"
"257","low"
"258","low"
"259","low"
"260","low"
"261","low"
"262","low"
"263","increasing"
"264","increasing"
"265","increasing"
"266","increasing"
"267","increasing"
"268","increasing"
"269","increasing"
"270","increasing"
"271","increasing"
"272","increasing"
"273","increasing"
"274","increasing"
"275","increasing"
"276","increasing"
"277","high"
"278","decreasing"
"279","decreasing"
"280","decreasing"
"281","decreasing"
"282","decreasing"
"283","decreasing"
"284","decreasing"
"285","decreasing"
"286","decreasing"
"287","low"
"288","low"
"289","low"
"290","low"
"291","low"
"292","low"
"293","low"
"294","low"
"295","low"
"296","low"
"297","low"
"298","low"
"299","low"
"300","increasing"
